,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Saint John,90,CA,1570544031,100,45.28,-66.06,13.33,2.6
1,Naze,100,NG,1570544072,94,5.43,7.07,23.31,2.82
2,Mahebourg,75,MU,1570544073,69,-20.41,57.7,23.33,7.2
3,Ushuaia,75,AR,1570543835,84,-54.81,-68.31,3.0,13.9
4,Cleethorpes,40,GB,1570544074,63,53.56,-0.03,16.11,9.3
5,Hilo,90,US,1570544075,73,19.71,-155.08,24.0,2.1
6,Atuona,2,PF,1570544075,77,-9.8,-139.03,25.91,7.1
7,Iisalmi,90,FI,1570544075,69,63.56,27.19,3.0,4.1
8,Busselton,100,AU,1570544076,49,-33.64,115.35,16.67,8.39
9,Barrow,12,AR,1570544076,36,-38.31,-60.23,16.81,5.85
10,Namatanai,43,PG,1570544077,85,-3.66,152.44,26.01,5.32
11,Rikitea,100,PF,1570544077,80,-23.12,-134.97,19.71,4.16
12,Oudtshoorn,20,ZA,1570544078,68,-33.59,22.2,21.0,4.6
13,Areka,100,ET,1570544079,84,7.07,37.71,20.61,1.38
14,Fortuna,1,US,1570544080,93,40.6,-124.16,11.11,1.5
15,Alabaster,90,US,1570544080,82,33.24,-86.82,20.0,1.5
16,Avarua,100,CK,1570544081,60,-21.21,-159.78,21.0,2.6
17,Taltal,0,CL,1570544082,54,-25.41,-70.49,17.91,2.61
18,Jamestown,0,AU,1570544082,88,-33.21,138.6,3.91,3.69
19,Kenora,16,CA,1570544083,76,49.76,-94.48,11.0,7.7
20,Jieshi,66,CN,1570544083,73,22.82,115.83,27.78,0.45
21,Tabou,92,CI,1570544083,71,4.42,-7.36,27.21,4.32
22,Mataura,100,NZ,1570544084,97,-46.19,168.86,10.56,0.45
23,Bida,73,NG,1570544084,74,9.08,6.02,27.81,4.86
24,Albany,75,US,1570544019,82,42.65,-73.75,14.44,1.5
25,Punta Arenas,40,CL,1570544085,56,-53.16,-70.91,7.0,15.9
26,Tsimlyansk,100,RU,1570544085,69,47.65,42.1,13.31,6.89
27,Guerrero Negro,0,MX,1570544085,77,27.97,-114.04,21.11,3.67
28,Floro,75,NO,1570544086,81,61.6,5.03,10.56,5.7
29,Ribeira Grande,20,PT,1570544086,56,38.52,-28.7,22.0,7.2
30,Margate,40,AU,1570544086,70,-43.03,147.26,7.0,3.1
31,San Luis,0,AR,1570544087,24,-33.3,-66.34,26.41,2.5
32,Hermanus,0,ZA,1570544087,61,-34.42,19.24,19.44,6.26
33,Santa Isabel do Rio Negro,74,BR,1570544088,46,-0.41,-65.02,33.81,1.63
34,Ponta do Sol,99,BR,1570544088,83,-20.63,-46.0,21.01,2.85
35,Czluchow,100,PL,1570544089,92,53.67,17.36,7.22,3.58
36,Aklavik,5,CA,1570544089,85,68.22,-135.01,-3.0,2.6
37,Hobart,40,AU,1570543923,70,-42.88,147.33,7.0,3.1
38,Yellowknife,40,CA,1570543932,79,62.45,-114.38,-3.0,6.7
39,High Level,90,CA,1570544090,79,58.52,-117.13,-3.0,4.6
40,Pilar,0,AR,1570544090,30,-34.46,-58.91,24.44,4.6
41,Tuktoyaktuk,75,CA,1570544091,86,69.44,-133.03,-3.0,6.7
